Chain,Token Symbol,Value,Type,Contract Address
metis,METIS,13699.8,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,METIS,0.0,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,m.USDC,1342161.882570517,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,m.USDC,0.0,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,WETH,0.0,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,WETH,0.0,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,SYN,3627.2976495637913,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,SYN,445.37879453538017,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,NUSD,0.0065389366384071895,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,NUSD,101400.81138318697,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,NETH,0.0,Claimed Fees,0xEAEC50eBe1c2A981ED8be02C36b0863Fae322975
metis,NETH,16199.4589295387,Unclaimed Fees,0x06Fea8513FF03a0d3f61324da709D4cf06F42A5c
metis,nUSD,25987.667116773067,Swap Unclaimed Fees,0x555982d2E211745b96736665e19D9308B615F78e
metis,mUSDC,26072.450224242708,Swap Unclaimed Fees,0x555982d2E211745b96736665e19D9308B615F78e
metis,nETH,2877.4000542594904,Swap Unclaimed Fees,0x09fEC30669d63A13c666d2129230dD5588E2e240
metis,WETH,3025.82097488768,Swap Unclaimed Fees,0x09fEC30669d63A13c666d2129230dD5588E2e240
